날짜,총 예매인원
2010-08-16,127658
2010-08-17,122705
2010-08-18,113137
2010-08-19,142779
2010-08-20,148707
2010-08-21,291500
2010-08-22,261053
2010-08-23,103209
2010-08-24,96803
2010-08-25,91569
2010-08-26,96138
2010-08-27,104247
2010-08-28,218118
2010-08-29,187478
2010-08-30,68030
2010-08-31,67312
2010-09-01,56305
2010-09-02,57487
2010-09-03,73062
2010-09-04,157285
2010-09-05,128162
2010-09-06,42632
2010-09-07,39112
2010-09-08,36593
2010-09-09,64749
2010-09-10,80654
2010-09-11,198806
2010-09-12,170713
2010-09-13,48911
2010-09-14,45219
2010-09-15,46333
2010-09-16,70031
2010-09-17,84519
2010-09-18,219952
2010-09-19,196756
2010-09-20,149540
2010-09-21,158646
2010-09-22,226358
2010-09-23,251249
2010-09-24,163750
2010-09-25,187939
2010-09-26,137824
2010-09-27,38672
2010-09-28,42842
2010-09-29,43354
2010-09-30,59186
2010-10-01,67504
2010-10-02,158241
2010-10-03,133096
2010-10-04,44364
2010-10-05,43970
2010-10-06,48349
2010-10-07,50975
2010-10-08,66872
2010-10-09,135877
2010-10-10,119672
2010-10-11,36601
2010-10-12,37820
2010-10-13,38715
2010-10-14,51778
2010-10-15,64221
2010-10-16,155215
2010-10-17,116529
2010-10-18,39552
2010-10-19,36764
2010-10-20,39884
2010-10-21,48718
2010-10-22,64399
2010-10-23,132317
2010-10-24,111375
2010-10-25,39175
2010-10-26,38623
2010-10-27,38071
2010-10-28,64167
2010-10-29,77157
2010-10-30,169454
2010-10-31,150492
2010-11-01,51441
2010-11-02,48518
2010-11-03,49169
2010-11-04,54234
2010-11-05,71061
2010-11-06,165846
2010-11-07,134939
2010-11-08,44142
2010-11-09,41712
2010-11-10,67761
2010-11-11,83693
2010-11-12,87793
2010-11-13,192651
2010-11-14,160851
2010-11-15,50165
2010-11-16,47143
2010-11-17,58779
2010-11-18,86614
2010-11-19,87517
2010-11-20,182901
2010-11-21,141689
2010-11-22,52494
2010-11-23,46413
2010-11-24,54473
2010-11-25,64166
2010-11-26,78276
2010-11-27,168386
2010-11-28,139811
2010-11-29,49739
2010-11-30,52504
2010-12-01,60227
2010-12-02,63275
2010-12-03,83509
2010-12-04,171825
2010-12-05,140773
2010-12-06,58802
2010-12-07,58007
2010-12-08,64020
2010-12-09,95269
2010-12-10,110652
2010-12-11,221915
2010-12-12,180408
2010-12-13,60949
2010-12-14,68184
2010-12-15,97647
2010-12-16,96536
2010-12-17,113337
2010-12-18,237892
2010-12-19,235999
2010-12-20,79767
2010-12-21,100699
2010-12-22,113106
2010-12-23,118314
2010-12-24,234797
2010-12-25,377281
2010-12-26,255763
2010-12-27,114465
2010-12-28,113968
2010-12-29,127313
2010-12-30,145595
2010-12-31,207317
2011-01-01,306688
2011-01-02,240039
2011-01-03,82395
2011-01-04,76639
2011-01-05,76821
2011-01-06,71699
2011-01-07,84569
2011-01-08,200269
2011-01-09,172369
2011-01-10,53450
2011-01-11,54472
2011-01-12,53650
2011-01-13,72692
2011-01-14,81406
2011-01-15,186759
2011-01-16,154958
2011-01-17,53737
2011-01-18,53564
2011-01-19,52765
2011-01-20,65925
2011-01-21,73226
2011-01-22,167489
2011-01-23,138927
2011-01-24,50232
2011-01-25,48540
